code,name,island,municipality,locality,address,postal_code,nature,center_type,host_center_code,longitude,latitude
38700140,CENTRO DEL PROFESORADO EL HIERRO,EL HIERRO,VALVERDE,VALVERDE,"C/ TRINISTA, 2. TRASERA DEL JUZGADO",38900,Público,CEP,38011017,,
38702566,CENTRO DEL PROFESORADO LA GOMERA,LA GOMERA,SAN SEBASTIÁN DE LA GOMERA,SAN SEBASTIÁN DE LA GOMERA,"AVDA. JOSÉ AGUIAR, S/N",38800,Público,CEP,38009618,,
35700043,CENTRO DEL PROFESORADO LANZAROTE,LANZAROTE,ARRECIFE,ARRECIFE,"C/ EL ANTONIO, S/N",35500,Público,CEP,35009723,,
35707701,CENTRO DEL PROFESORADO GRAN TARAJAL,FUERTEVENTURA,TUINEJE,GRAN TARAJAL,"C/ MENORCA, S/N",35620,Público,CEP,,-14.0209,28.2171
35700110,CENTRO DEL PROFESORADO PUERTO DEL ROSARIO,FUERTEVENTURA,PUERTO DEL ROSARIO,PUERTO DEL ROSARIO,"C/ SECUNDINO ALONSO, 63",35600,Público,CEP,35008007,,
35700471,CENTRO DEL PROFESORADO GRAN CANARIA NOROESTE,GRAN CANARIA,GÁLDAR,GÁLDAR,"PLAZA DE SAN ISIDRO, 2",35460,Público,CEP,,-15.6534,28.1448
35702341,CENTRO DEL PROFESORADO GRAN CANARIA SUR,GRAN CANARIA,AGÜIMES,CRUCE DE ARINAGA,"C/ AÑEPA, S/N. POLÍGONO RESIDENCIAL DE ARINAGA",35118,Público,CEP,,-15.4282,27.8785
35700468,CENTRO DEL PROFESORADO LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"C/ PEDRO SANZ SAINZ, 60. LOMO APOLINARIO",35014,Público,CEP,,-15.4436,28.097
35707201,CENTRO DEL PROFESORADO TELDE,GRAN CANARIA,TELDE,LA GARITA,"AVDA. DEL CABILDO, S/N. JUNTO AL PARQUE DE BOMBEROS",35212,Público,CEP,35009826,,
38700406,CENTRO DEL PROFESORADO LA PALMA,LA PALMA,SANTA CRUZ DE LA PALMA,SANTA CRUZ DE LA PALMA,"CAMINO VELACHERO, S/N",38700,Público,CEP,,-17.772,28.6797
38700391,CENTRO DEL PROFESORADO NORTE DE TENERIFE,TENERIFE,LOS REALEJOS,LOS REALEJOS,"C/ SAN AGUSTÍN, 7. EDIFICIO MANCOMUNIDAD NORTE DE TENERIFE",38410,Público,CEP,,-16.5848,28.3817
38700050,CENTRO DEL PROFESORADO LA LAGUNA,TENERIFE,SAN CRISTÓBAL DE LA LAGUNA,SAN CRISTÓBAL DE LA LAGUNA,"AVDA. ÁNGEL GUIMERÁ, S/N",38204,Público,CEP,,-16.3137,28.4887
38706050,CENTRO DEL PROFESORADO SANTA CRUZ DE TENERIFE,TENERIFE,SANTA CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,"C/ ELADIO ROCA SALAZAR, 8",38008,Público,CEP,,-16.275,28.4686
38700388,CENTRO DEL PROFESORADO TENERIFE SUR,TENERIFE,GRANADILLA DE ABONA,SAN ISIDRO,"C/ LA VIÑA, 10",38611,Público,CEP,,-16.5568,28.0785
35702368,E.O.E.P. VALLE DE JINÁMAR,GRAN CANARIA,TELDE,VALLE DE JINÁMAR,"C/ MANUEL ALEMÁN ÁLAMO, S/N. CEIP POETA MONTIANO PLACERES",35220,Público,EOEP,35006655,,
35702370,E.O.E.P. GRAN CANARIA NOROESTE,GRAN CANARIA,SANTA MARÍA DE GUÍA DE GRAN CANARIA,SANTA MARÍA DE GUÍA,"URBANIZACIÓN MARENTE, S/N. CEE MARENTE",35450,Público,EOEP,35008652,,
35702373,E.O.E.P. GRAN CANARIA SUR,GRAN CANARIA,SAN BARTOLOMÉ DE TIRAJANA,SAN FERNANDO,"C/ MONTAÑA CLARA, 10. CEIP LAS DUNAS",35100,Público,EOEP,35007787,,
35702374,E.O.E.P. INGENIO-AGÜIMES,GRAN CANARIA,INGENIO,INGENIO,"C/ JUAN NEGRÍN, 7",35250,Público,EOEP,,-15.4256,27.9197
35702375,E.O.E.P. LANZAROTE SUR,LANZAROTE,ARRECIFE,ARRECIFE,"C/ TILAMA, 1. CEIP TITERROY",35500,Público,EOEP,35000215,,
35702376,E.O.E.P. FUERTEVENTURA NORTE,FUERTEVENTURA,PUERTO DEL ROSARIO,PUERTO DEL ROSARIO,"PAREDONES, MAJADA MARCIAL. CEE PUERTO DEL ROSARIO",35600,Público,EOEP,35008640,,
35702378,E.O.E.P. FUERTEVENTURA SUR,FUERTEVENTURA,TUINEJE,GRAN TARAJAL,"C/ EL PALMERAL, S/N. IES VIGÁN",35620,Público,EOEP,35010610,,
35702379,E.O.E.P. TELDE-VALSEQUILLO,GRAN CANARIA,TELDE,TELDE,"C/ TOMÁS DE IRIARTE, S/N. CEIP DOCTOR HERNÁNDEZ BENÍTEZ",35200,Público,EOEP,35004312,,
35702381,E.O.E.P. GRAN CANARIA NORTE,GRAN CANARIA,ARUCAS,SANTIDAD,"C/ DORAMAS, 2. CEIP SANTIDAD",35411,Público,EOEP,35000495,,
35702384,E.O.E.P. GRAN CANARIA CENTRO,GRAN CANARIA,SANTA BRÍGIDA,SAN JOSÉ DE LA VEGA,"PLAZA DE DOÑA LUISA, S/N. ANTIGUO CEIP JOSEFA HERNÁNDEZ GUERRA",35307,Público,EOEP,,-15.5007,28.0314
35702656,E.O.E.P. LAS CANTERAS,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"C/ JESÚS FERRER JIMENO, 15. CEIP MESA Y LÓPEZ",35010,Público,EOEP,35007881,,
35702657,E.O.E.P. ARENALES,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"C/ CARVAJAL, 57. CEIP NANDA CAMBRES",35004,Público,EOEP,35007684,,
35702658,E.O.E.P. LA VEGA DE SAN JOSÉ,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"PASEO DE SAN JOSÉ, 290. CEIP ALISIOS",35016,Público,EOEP,35014494,,
35702659,E.O.E.P. LAS PALMAS-MILLER,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"C/ MANUEL DE FALLA, S/N",35013,Público,EOEP,35016028,,
35702660,E.O.E.P. ESCALERITAS,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"C/ ALBERTO GARCÍA IBÁÑEZ, 2. CEIP BUENAVISTA I",35011,Público,EOEP,35007441,,
35702661,E.O.E.P. TAMARACEITE-SIETE PALMAS,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,"C/ SARGENTO PROVISIONAL, 5. CEIP JOSÉ PÉREZ Y PÉREZ",35012,Público,EOEP,35008743,,
35702662,E.O.E.P. TELDE COSTA,GRAN CANARIA,TELDE,EL GORO,"C/ SÉNECA, 16. CEIP EL GORO",35219,Público,EOEP,35005006,,
